predictor,label,Effect,NumDF,DenDF,ChiSq,FValue,ProbChiSq,ProbF,fdr_p
meandonationtime,LD,predspline,2,6666,1.77,0.88,0.4132995999,4.1334800E-01,0.7760173173
timesincecat,COHB,predictorvalue,3,14194,2.84,0.95,0.4163628972,4.1639287E-01,0.7784453227
donorparity,KREA,predictorvalue,2,50331,1.74,0.87,0.4188738145,4.1888012E-01,0.7784453227
meanstoragetime,LAKTAT,predspline,2,18855,1.74,0.87,0.4193904814,4.1940728E-01,0.7784453227
meandonorhb,FERRITIN,predspline,2,2553,1.72,0.86,0.4225404499,4.2266324E-01,0.7815282564
meanweekday,CRP,predictorvalue,5,47666,4.90,0.98,0.4277138233,4.2772600E-01,0.7879163231
meandonorsex,MCH,predictorvalue,1,36907,0.62,0.62,0.4324954319,4.3250047E-01,0.7937274547
donorparity,BASOF,predictorvalue,2,1933,1.65,0.82,0.4383807025,4.3853487E-01,0.8014686215
numdoncat,MONO,predictorvalue,4,1925,3.74,0.94,0.4421250404,4.4236860E-01,0.8014686215
timesincecat,BE,predictorvalue,3,20176,2.67,0.89,0.4454709115,4.4548986E-01,0.8014686215
meandonationtime,MCH,predspline,2,36788,1.61,0.81,0.4464134191,4.4642131E-01,0.8014686215
meandonationtime,CA,predspline,2,12688,1.61,0.81,0.4470514388,4.4707427E-01,0.8014686215
donorparity,GLUKOS,predictorvalue,2,44583,1.61,0.80,0.4481616927,4.4816817E-01,0.8014686215
donorparity,META,predictorvalue,2,376,1.56,0.78,0.4580438103,4.5878502E-01,0.8073347797
numdoncat,BE,predictorvalue,4,20175,3.62,0.91,0.4591357406,4.5915734E-01,0.8073347797
timesincecat,FERRITIN,predictorvalue,3,2563,2.59,0.86,0.4591662939,4.5930754E-01,0.8073347797
meandonorsex,METHB,predictorvalue,1,15590,0.55,0.55,0.4598289731,4.5984010E-01,0.8073347797
meandonorsex,COHB,predictorvalue,1,14190,0.54,0.54,0.4611751356,4.6118732E-01,0.8073347797
meandonationtime,CO2,predspline,2,1070,1.55,0.77,0.4610760591,4.6133416E-01,0.8073347797
meandonorhb,GT,predspline,2,7673,1.50,0.75,0.4715279906,4.7156272E-01,0.8208490271
meandonorage,FE,predspline,2,1404,1.50,0.75,0.4722177392,4.7240699E-01,0.8208490271
meanweekday,CA_F,predictorvalue,5,20357,4.51,0.90,0.4789032223,4.7892552E-01,0.825744183
timesincecat,PCO2,predictorvalue,3,16461,2.47,0.82,0.480259629,4.8027978E-01,0.825744183
meanweekday,HBA1C,predictorvalue,5,177,4.50,0.90,0.4798499928,4.8236907E-01,0.8264365266
meanstoragetime,MYELO,predspline,2,354,1.45,0.72,0.485407689,4.8612258E-01,0.8299653764
meandonorage,EGFR,predspline,2,7812,1.43,0.72,0.4882141626,4.8824629E-01,0.8305774637
meandonorsex,BE,predictorvalue,1,20168,0.47,0.47,0.4910113805,4.9101930E-01,0.8305774637
meanstoragetime,LD,predspline,2,6676,1.42,0.71,0.4922668365,4.9230387E-01,0.8305774637
idbloodgroupcat,LD,predictorvalue,1,6678,0.47,0.47,0.4934798503,4.9350362E-01,0.8305774637
timesincecat,CA,predictorvalue,3,12737,2.39,0.80,0.4959716884,4.9599598E-01,0.8305774637
meandonorage,MCHC,predspline,2,23925,1.40,0.70,0.4966412542,4.9665142E-01,0.8305774637
meandonorage,META,predspline,2,376,1.39,0.69,0.4994576844,5.0009673E-01,0.8317780891
idbloodgroupcat,ASAT,predictorvalue,1,15258,0.45,0.45,0.5018200363,5.0183020E-01,0.8317780891
numdoncat,ASAT,predictorvalue,4,15281,3.33,0.83,0.5045513687,5.0457415E-01,0.8317780891
meandonorhb,OSMO,predspline,2,6416,1.37,0.68,0.5045702765,5.0460707E-01,0.8317780891
meanweekday,LYMF,predictorvalue,5,1917,4.31,0.86,0.5056539551,5.0585688E-01,0.8317780891
donorparity,NEUTRO,predictorvalue,2,10903,1.34,0.67,0.5115568306,5.1157791E-01,0.8383718255
meandonorhb,CRP,predspline,2,47250,1.33,0.66,0.5153161619,5.1532096E-01,0.8416908939
meandonationtime,ERYTRO,predspline,2,36476,1.30,0.65,0.5219275047,5.2193355E-01,0.8468819138
numdoncat,LAKTAT,predictorvalue,4,18878,3.22,0.80,0.5219390737,5.2195579E-01,0.8468819138
meandonationtime,ERYTROBL,predspline,2,260,1.30,0.65,0.5231737501,5.2401615E-01,0.8474188614
meandonorage,LD,predspline,2,6691,1.28,0.64,0.5263460412,5.2637844E-01,0.8475612509
meandonorage,NTPROBNP,predspline,2,819,1.27,0.64,0.5291856364,5.2944713E-01,0.8475612509
meanweekday,KREA,predictorvalue,5,50338,4.14,0.83,0.5297632862,5.2976990E-01,0.8475612509
donorparity,ALB,predictorvalue,2,23080,1.26,0.63,0.5314063641,5.3141557E-01,0.8475612509
meandonationtime,LAKTAT,predspline,2,18837,1.26,0.63,0.5327415717,5.3275279E-01,0.8475612509
timesincecat,ALAT,predictorvalue,3,16883,2.16,0.72,0.5388996565,5.3891451E-01,0.8518889819
meandonorsex,GLUKOS,predictorvalue,1,44584,0.38,0.38,0.5392523191,5.3925545E-01,0.8518889819
meandonorhb,HAPTO,predspline,2,367,1.23,0.62,0.5405697501,5.4112614E-01,0.8518889819
meandonorage,LPK,predspline,2,56326,1.22,0.61,0.5434558544,5.4345944E-01,0.8518889819
meandonorsex,GT,predictorvalue,1,7734,0.37,0.37,0.5441480158,5.4416582E-01,0.8518889819
numdoncat,EOSINO,predictorvalue,4,1914,3.05,0.76,0.5495500431,5.4968871E-01,0.8524548688
idbloodgroupcat,NTPROBNP,predictorvalue,1,819,0.36,0.36,0.5497812253,5.4994657E-01,0.8524548688
donorparity,CO2,predictorvalue,2,1071,1.20,0.60,0.55004678,5.5023018E-01,0.8524548688
meandonorhb,CA_F,predspline,2,20136,1.19,0.60,0.5514764083,5.5148611E-01,0.8524548688
meandonorhb,ALP,predspline,2,6623,1.18,0.59,0.5537817777,5.5381098E-01,0.8527621258
meandonorage,GT,predspline,2,7733,1.17,0.59,0.5559886244,5.5601340E-01,0.8527621258
numdoncat,FERRITIN,predictorvalue,4,2562,3.01,0.75,0.5568072565,5.5690588E-01,0.8527621258
meanweekday,K,predictorvalue,5,46806,3.88,0.78,0.5667277825,5.6673311E-01,0.8615653377
donorparity,BE,predictorvalue,2,20167,1.13,0.56,0.5693952269,5.6940418E-01,0.8615653377
meanstoragetime,HBA1C,predspline,2,179,1.13,0.56,0.5693290505,5.7033494E-01,0.8615653377
meandonorage,KREA,predspline,2,50331,1.12,0.56,0.5715524161,5.7155597E-01,0.8615653377
meandonorsex,ERYTROBL,predictorvalue,1,261,0.32,0.32,0.5729142946,5.7339836E-01,0.8615653377
numdoncat,ERYTROBL,predictorvalue,4,258,2.90,0.72,0.5747772969,5.7563282E-01,0.8615653377
meanweekday,BLAST,predictorvalue,5,202,3.83,0.77,0.5747669724,5.7590747E-01,0.8615653377
idbloodgroupcat,MONO,predictorvalue,1,1926,0.31,0.31,0.5769910286,5.7705585E-01,0.8615653377
numdoncat,META,predictorvalue,4,374,2.88,0.72,0.5779025833,5.7847958E-01,0.8615653377
numdoncat,GT,predictorvalue,4,7734,2.82,0.71,0.5880211714,5.8804698E-01,0.8700792398
numdoncat,CRP,predictorvalue,4,47680,2.81,0.70,0.5896228041,5.8962694E-01,0.8700792398
meandonorage,METHB,predspline,2,15588,1.06,0.53,0.5900249978,5.9003553E-01,0.8700792398
meandonorhb,MONO,predspline,2,1906,1.04,0.52,0.594151477,5.9423594E-01,0.8700792398
meandonorsex,NA,predictorvalue,1,46329,0.28,0.28,0.5979157286,5.9791825E-01,0.8700792398
meandonationtime,KREA,predspline,2,50165,1.03,0.51,0.5988678705,5.9887101E-01,0.8700792398
timesincecat,ASAT,predictorvalue,3,15282,1.87,0.62,0.5998022875,5.9981369E-01,0.8700792398
meandonorage,APTT,predspline,2,22102,1.02,0.51,0.6009651467,6.0097220E-01,0.8700792398
numdoncat,ALAT,predictorvalue,4,16882,2.74,0.69,0.6015627831,6.0157330E-01,0.8700792398
donorparity,LD,predictorvalue,2,6691,1.02,0.51,0.6019296016,6.0195278E-01,0.8700792398
idbloodgroupcat,GLUKOS,predictorvalue,1,44552,0.27,0.27,0.6040823481,6.0408492E-01,0.870130658
meandonorage,MYELO,predspline,2,355,1.00,0.50,0.605110425,6.0553991E-01,0.870130658
meandonorhb,BLAST,predspline,2,203,0.98,0.49,0.6113129174,6.1204038E-01,0.8730607096
meanweekday,ALB,predictorvalue,5,23081,3.57,0.71,0.6124504198,6.1245709E-01,0.8730607096
donorparity,LPK,predictorvalue,2,56326,0.98,0.49,0.6129216457,6.1292425E-01,0.8730607096
meandonorsex,BASOF,predictorvalue,1,1934,0.25,0.25,0.6150386219,6.1509588E-01,0.8736144436
meandonorsex,ALP,predictorvalue,1,6673,0.25,0.25,0.6181100932,6.1812652E-01,0.8746951101
meanweekday,HAPTO,predictorvalue,5,367,3.53,0.71,0.6190438309,6.1942695E-01,0.8746951101
meandonationtime,CL,predspline,2,21017,0.95,0.48,0.6212585041,6.2126520E-01,0.8747699679
meanweekday,LD,predictorvalue,5,6685,3.48,0.70,0.626707354,6.2672620E-01,0.8799307679
numdoncat,METHB,predictorvalue,4,15594,2.53,0.63,0.6386789441,6.3868667E-01,0.8916138761
idbloodgroupcat,OSMO,predictorvalue,1,6493,0.21,0.21,0.6433248273,6.4334035E-01,0.8951402541
numdoncat,GLUKOS,predictorvalue,4,44604,2.50,0.62,0.6448638446,6.4486635E-01,0.8951402541
meanstoragetime,FERRITIN,predspline,2,2559,0.87,0.43,0.6473451014,6.4739293E-01,0.8961088619
meandonorhb,NA,predspline,2,45864,0.86,0.43,0.6510115065,6.5101412E-01,0.89789446
donorparity,BLAST,predictorvalue,2,205,0.86,0.43,0.6519847516,6.5256527E-01,0.89789446
meanweekday,META,predictorvalue,5,373,3.29,0.66,0.6551496938,6.5534717E-01,0.89789446
meandonorage,NA,predspline,2,46327,0.84,0.42,0.6560101704,6.5601269E-01,0.89789446
idbloodgroupcat,METHB,predictorvalue,1,15582,0.19,0.19,0.66274857,6.6275461E-01,0.9010356991
donorparity,HBA1C,predictorvalue,2,180,0.82,0.41,0.6629416525,6.6356240E-01,0.9010356991
meandonorsex,EOSINO,predictorvalue,1,1917,0.19,0.19,0.6651799585,6.6522864E-01,0.9010356991
donorparity,EOSINO,predictorvalue,2,1916,0.80,0.40,0.6688110527,6.6886752E-01,0.9010356991
numdoncat,APTT,predictorvalue,4,22116,2.36,0.59,0.6693811188,6.6938463E-01,0.9010356991
timesincecat,BLAST,predictorvalue,3,204,1.55,0.52,0.6712078156,6.7168280E-01,0.9010356991
donorparity,FE,predictorvalue,2,1404,0.79,0.40,0.6722046907,6.7228020E-01,0.9010356991
meanstoragetime,CRP,predspline,2,47584,0.78,0.39,0.676035278,6.7603746E-01,0.9010356991
meanstoragetime,FIB,predspline,2,13641,0.78,0.39,0.676688713,6.7669628E-01,0.9010356991
meanweekday,COHB,predictorvalue,5,14190,3.14,0.63,0.6777579297,6.7776039E-01,0.9010356991
idbloodgroupcat,EGFR,predictorvalue,1,7811,0.17,0.17,0.678523665,6.7853505E-01,0.9010356991
meanweekday,MCV,predictorvalue,5,36825,3.10,0.62,0.6848738216,6.8487446E-01,0.9014863366
meanweekday,OSMO,predictorvalue,5,6491,3.09,0.62,0.686030704,6.8603403E-01,0.9014863366
meandonorage,BILI,predspline,2,22353,0.75,0.38,0.6871822908,6.8718662E-01,0.9014863366
donorparity,FIB,predictorvalue,2,13660,0.75,0.37,0.6889223018,6.8892930E-01,0.9014863366
meandonationtime,ALP,predspline,2,6642,0.75,0.37,0.6889699721,6.8898437E-01,0.9014863366
meandonorsex,FIB,predictorvalue,1,13661,0.16,0.16,0.6899067764,6.8991301E-01,0.9014863366
meanstoragetime,BASOF,predspline,2,1929,0.72,0.36,0.6985053489,6.9855196E-01,0.9024562092
meandonorage,BLAST,predspline,2,205,0.71,0.36,0.6994749909,6.9991002E-01,0.9024562092
idbloodgroupcat,FE,predictorvalue,1,1404,0.15,0.15,0.7003554029,7.0041369E-01,0.9024562092
meandonorhb,ERYTROBL,predspline,2,257,0.71,0.36,0.7001394653,7.0048510E-01,0.9024562092
numdoncat,NTPROBNP,predictorvalue,4,817,2.18,0.55,0.7024722397,7.0251667E-01,0.9024562092
meanstoragetime,INR,predspline,2,27880,0.70,0.35,0.7033090893,7.0331221E-01,0.9024562092
meandonorsex,FE,predictorvalue,1,1405,0.14,0.14,0.7042772321,7.0433459E-01,0.9024562092
meandonorhb,LAKTAT,predspline,2,18665,0.70,0.35,0.7053846378,7.0538924E-01,0.9024562092
numdoncat,HAPTO,predictorvalue,4,368,2.11,0.53,0.7157190457,7.1577712E-01,0.9133614284
meanweekday,BE,predictorvalue,5,20169,2.86,0.57,0.721450477,7.2144896E-01,0.9173746624
meandonationtime,MCHC,predspline,2,23805,0.65,0.32,0.7234074773,7.2341066E-01,0.9173746624
meanweekday,FIB,predictorvalue,5,13661,2.84,0.57,0.7245413116,7.2453876E-01,0.9173746624
numdoncat,HBA1C,predictorvalue,4,178,2.04,0.51,0.729131451,7.2917292E-01,0.9183377261
meanweekday,FE,predictorvalue,5,1402,2.81,0.56,0.7292751445,7.2924601E-01,0.9183377261
meanstoragetime,EOSINO,predspline,2,1912,0.62,0.31,0.7329306083,7.3296761E-01,0.9183377261
meandonorhb,K,predspline,2,46326,0.62,0.31,0.7333714551,7.3337298E-01,0.9183377261
idbloodgroupcat,CA,predictorvalue,1,12719,0.11,0.11,0.741034694,7.4104014E-01,0.9183377261
meandonorhb,BE,predspline,2,19959,0.60,0.30,0.7411473662,7.4115070E-01,0.9183377261
timesincecat,MYELO,predictorvalue,3,354,1.25,0.42,0.7419198063,7.4202349E-01,0.9183377261
meandonationtime,FERRITIN,predspline,2,2554,0.59,0.30,0.7438166697,7.4384218E-01,0.9183377261
numdoncat,COHB,predictorvalue,4,14193,1.95,0.49,0.7445418664,7.4454126E-01,0.9183377261
timesincecat,CO2,predictorvalue,3,1071,1.23,0.41,0.7464088951,7.4644011E-01,0.9183377261
meanweekday,CL,predictorvalue,5,21061,2.70,0.54,0.7464442195,7.4644126E-01,0.9183377261
idbloodgroupcat,HAPTO,predictorvalue,1,370,0.10,0.10,0.74760757,7.4778929E-01,0.9183377261
timesincecat,K,predictorvalue,3,46823,1.21,0.40,0.7498060519,7.4980671E-01,0.9185132248
meandonationtime,GLUKOS,predspline,2,44479,0.56,0.28,0.7566640113,7.5666533E-01,0.9237022503
meanstoragetime,FE,predspline,2,1401,0.55,0.28,0.7577712633,7.5781287E-01,0.9237022503
donorparity,METHB,predictorvalue,2,15589,0.55,0.27,0.760230237,7.6023390E-01,0.9243538756
idbloodgroupcat,ALP,predictorvalue,1,6662,0.09,0.09,0.7634031231,7.6341252E-01,0.9258785134
meandonorage,ALAT,predspline,2,16877,0.53,0.27,0.7670499746,7.6705317E-01,0.9258785134
idbloodgroupcat,EVF,predictorvalue,1,55667,0.09,0.09,0.7705550348,7.7055612E-01,0.9258785134
meanweekday,MCHC,predictorvalue,5,23929,2.52,0.50,0.7727310687,7.7272729E-01,0.9258785134
meanweekday,BILI,predictorvalue,5,22355,2.50,0.50,0.776052509,7.7604832E-01,0.9258785134
timesincecat,FIB,predictorvalue,3,13668,1.10,0.37,0.7760599741,7.7606099E-01,0.9258785134
timesincecat,HBA1C,predictorvalue,3,179,1.10,0.37,0.7777034883,7.7777661E-01,0.9258785134
meandonorage,FIB,predspline,2,13660,0.49,0.24,0.7842281599,7.8423155E-01,0.9258785134
meandonorage,CA_F,predspline,2,20354,0.48,0.24,0.78565687,7.8565912E-01,0.9258785134
meanweekday,NTPROBNP,predictorvalue,5,816,2.42,0.48,0.7883218046,7.8819414E-01,0.9258785134
meanweekday,ALAT,predictorvalue,5,16877,2.42,0.48,0.7890378467,7.8903161E-01,0.9258785134
timesincecat,NTPROBNP,predictorvalue,3,818,1.05,0.35,0.7895657425,7.8957328E-01,0.9258785134
meanstoragetime,LYMF,predspline,2,1916,0.47,0.24,0.7898995406,7.8992247E-01,0.9258785134
meandonorhb,GLUKOS,predspline,2,44130,0.47,0.23,0.7908533743,7.9085436E-01,0.9258785134
meanstoragetime,ERYTROBL,predspline,2,259,0.47,0.23,0.7924751139,7.9264047E-01,0.9258785134
donorparity,ERYTROBL,predictorvalue,2,260,0.46,0.23,0.7948061221,7.9496718E-01,0.9258785134
timesincecat,CL,predictorvalue,3,21070,1.02,0.34,0.7972067377,7.9720684E-01,0.9258785134
meandonorhb,ALB,predspline,2,22891,0.45,0.23,0.7981023856,7.9810416E-01,0.9258785134
meandonorhb,EOSINO,predspline,2,1895,0.44,0.22,0.8020016713,8.0202227E-01,0.9258785134
timesincecat,FE,predictorvalue,3,1404,0.99,0.33,0.80262019,8.0261973E-01,0.9258785134
meanweekday,ERYTROBL,predictorvalue,5,257,2.31,0.46,0.8052743014,8.0482248E-01,0.9258785134
meandonorage,ALB,predspline,2,23080,0.43,0.21,0.8069619846,8.0696359E-01,0.9258785134
meandonorsex,BILI_K,predictorvalue,1,4823,0.06,0.06,0.8089377944,8.0894807E-01,0.9258785134
meanweekday,METHB,predictorvalue,5,15589,2.27,0.45,0.8110653005,8.1105752E-01,0.9258785134
donorparity,GT,predictorvalue,2,7733,0.41,0.21,0.8143007829,8.1430523E-01,0.9258785134
meanweekday,NA,predictorvalue,5,46332,2.24,0.45,0.8144535912,8.1445093E-01,0.9258785134
idbloodgroupcat,MYELO,predictorvalue,1,356,0.05,0.05,0.8151818343,8.1531619E-01,0.9258785134
meandonorsex,CA_F,predictorvalue,1,20356,0.05,0.05,0.8184924249,8.1849473E-01,0.9258785134
meandonorsex,FERRITIN,predictorvalue,1,2564,0.05,0.05,0.8212776343,8.2129564E-01,0.9258785134
meandonationtime,MONO,predspline,2,1924,0.39,0.19,0.8228549541,8.2287121E-01,0.9258785134
timesincecat,INR,predictorvalue,3,27929,0.91,0.30,0.8238432881,8.2384292E-01,0.9258785134
timesincecat,NA,predictorvalue,3,46349,0.89,0.30,0.8284453187,8.2844506E-01,0.9269116238
idbloodgroupcat,FERRITIN,predictorvalue,1,2562,0.05,0.05,0.8285282482,8.2854549E-01,0.9269116238
timesincecat,LAKTAT,predictorvalue,3,18879,0.87,0.29,0.8328718654,8.3287114E-01,0.9296283795
meandonationtime,COHB,predspline,2,14154,0.35,0.18,0.8374324923,8.3743435E-01,0.9303781097
timesincecat,OSMO,predictorvalue,3,6495,0.84,0.28,0.8391301838,8.3912774E-01,0.9303781097
meanweekday,CA,predictorvalue,5,12729,2.06,0.41,0.8413350961,8.4132441E-01,0.9303781097
timesincecat,MONO,predictorvalue,3,1926,0.83,0.28,0.8434648765,8.4345590E-01,0.9303781097
meanstoragetime,METHB,predspline,2,15582,0.33,0.17,0.846052403,8.4605392E-01,0.9303781097
meandonorhb,NEUTRO,predspline,2,10783,0.33,0.16,0.8479779282,8.4798007E-01,0.9303781097
numdoncat,ALP,predictorvalue,4,6672,1.37,0.34,0.8487438208,8.4873268E-01,0.9303781097
meanstoragetime,CA_F,predspline,2,20336,0.32,0.16,0.8518072446,8.5180832E-01,0.9316653524
meanstoragetime,CA,predspline,2,12715,0.31,0.16,0.8544194752,8.5442114E-01,0.9324417771
donorparity,NA,predictorvalue,2,46328,0.29,0.15,0.8639813815,8.6398178E-01,0.9407801606
meandonorage,FERRITIN,predspline,2,2563,0.28,0.14,0.8685861251,8.6859285E-01,0.9437039851
meandonorhb,BASOF,predspline,2,1912,0.25,0.13,0.8824695974,8.8247681E-01,0.9566673404
meandonationtime,PCO2,predspline,2,16421,0.23,0.11,0.8932817028,8.9328240E-01,0.962225047
meandonorsex,NEUTRO,predictorvalue,1,10904,0.02,0.02,0.8933232592,8.9332573E-01,0.962225047
meandonorsex,ALB,predictorvalue,1,23081,0.02,0.02,0.8934935192,8.9349469E-01,0.962225047
meandonorage,EOSINO,predspline,2,1916,0.22,0.11,0.8955223061,8.9552800E-01,0.9622998213
timesincecat,NEUTRO,predictorvalue,3,10907,0.59,0.20,0.8992309807,8.9922845E-01,0.9641617941
meanstoragetime,NA,predspline,2,46267,0.19,0.10,0.9084092786,9.0840946E-01,0.9675885896
meandonorsex,CRP,predictorvalue,1,47657,0.01,0.01,0.9089639897,9.0896447E-01,0.9675885896
idbloodgroupcat,HBA1C,predictorvalue,1,181,0.01,0.01,0.9101981483,9.1032314E-01,0.9675885896
donorparity,NTPROBNP,predictorvalue,2,819,0.16,0.08,0.9234854443,9.2349259E-01,0.9752565263
idbloodgroupcat,GT,predictorvalue,1,7722,0.01,0.01,0.928866301,9.2886862E-01,0.9752565263
meandonorsex,NTPROBNP,predictorvalue,1,820,0.01,0.01,0.9317699842,9.3179088E-01,0.9752565263
meanstoragetime,ALAT,predspline,2,16849,0.14,0.07,0.9321528386,9.3215311E-01,0.9752565263
numdoncat,BLAST,predictorvalue,3,204,0.43,0.14,0.9331032475,9.3297643E-01,0.9752565263
meandonorhb,KREA,predspline,2,49860,0.14,0.07,0.9334902297,9.3349032E-01,0.9752565263
numdoncat,OSMO,predictorvalue,4,6494,0.83,0.21,0.9345701169,9.3455989E-01,0.9752565263
meandonorage,LYMF,predspline,2,1920,0.13,0.07,0.9352323027,9.3523449E-01,0.9752565263
idbloodgroupcat,NA,predictorvalue,1,46292,0.01,0.01,0.936529988,9.3653033E-01,0.9752565263
meandonorsex,META,predictorvalue,1,377,0.01,0.01,0.9373987878,9.3744046E-01,0.9752565263
meanstoragetime,MONO,predspline,2,1923,0.12,0.06,0.9434892993,9.4349096E-01,0.9794715468
meandonorsex,LD,predictorvalue,1,6692,0.00,0.00,0.9482027396,9.4820468E-01,0.9802080334
donorparity,CRP,predictorvalue,2,47656,0.11,0.05,0.9487846296,9.4878468E-01,0.9802080334
timesincecat,META,predictorvalue,3,375,0.35,0.12,0.9503975095,9.5033756E-01,0.9802080334
meandonorage,ERYTROBL,predspline,2,260,0.10,0.05,0.9521933032,9.5220209E-01,0.9802080334
meandonorsex,HBA1C,predictorvalue,1,181,0.00,0.00,0.9564085629,9.5646885E-01,0.9818390062
timesincecat,ALB,predictorvalue,3,23091,0.30,0.10,0.9597985807,9.5979772E-01,0.9818390062
numdoncat,FE,predictorvalue,4,1403,0.58,0.15,0.9647534956,9.6472134E-01,0.9833808829
meanweekday,GT,predictorvalue,5,7730,0.95,0.19,0.9664889142,9.6647927E-01,0.9833808829
donorparity,BILI_K,predictorvalue,2,4822,0.07,0.03,0.9673254634,9.6732568E-01,0.9833808829
donorparity,CA_F,predictorvalue,2,20355,0.06,0.03,0.9722975577,9.7229760E-01,0.984390209
idbloodgroupcat,FIB,predictorvalue,1,13646,0.00,0.00,0.974651839,9.7465230E-01,0.984390209
idbloodgroupcat,EOSINO,predictorvalue,1,1915,0.00,0.00,0.977421646,9.7742459E-01,0.984390209
meandonationtime,FE,predspline,2,1399,0.04,0.02,0.9783629955,9.7836333E-01,0.984390209
timesincecat,LPK,predictorvalue,3,56357,0.13,0.04,0.987766603,9.8776647E-01,0.9918146885
meanweekday,LAKTAT,predictorvalue,5,18872,0.50,0.10,0.9919642429,9.9196301E-01,0.993991563
meandonorage,ERYTRO,predspline,2,36592,0.00,0.00,0.9982350703,9.9823507E-01,0.9982350704
