predictor,label,Effect,NumDF,DenDF,ChiSq,FValue,ProbChiSq,ProbF,fdr_p
idbloodgroupcat,BILI_K,predictorvalue,1,4819,6.86,6.86,0.0088116212,8.8392324E-03,0.0746324899
donorparity,PCO2,predictorvalue,2,16456,9.43,4.71,0.008974242,8.9863610E-03,0.0746324899
timesincecat,LD,predictorvalue,3,6691,11.52,3.84,0.0092204134,9.2590854E-03,0.075615864
timesincecat,GT,predictorvalue,3,7735,11.42,3.81,0.0096369113,9.6712450E-03,0.0776870499
meandonorsex,CA,predictorvalue,1,12734,6.65,6.65,0.0099004902,9.9116001E-03,0.0783336137
numdoncat,MCHC,predictorvalue,4,23936,13.19,3.30,0.0103628573,1.0376744E-02,0.0807080108
idbloodgroupcat,MCHC,predictorvalue,1,23900,6.37,6.37,0.0116383607,1.1644794E-02,0.0891554549
donorparity,K,predictorvalue,2,46801,8.87,4.43,0.0118587937,1.1863777E-02,0.0891683392
timesincecat,MCV,predictorvalue,3,36834,10.95,3.65,0.012002246,1.2010429E-02,0.0891683392
idbloodgroupcat,APTT,predictorvalue,1,22085,6.15,6.15,0.0131314662,1.3138862E-02,0.0958734747
timesincecat,MCHC,predictorvalue,3,23937,10.73,3.58,0.0132915508,1.3304890E-02,0.0958734747
donorparity,MYELO,predictorvalue,2,355,8.21,4.11,0.0164747673,1.7263582E-02,0.1225964484
meandonorhb,HBA1C,predspline,2,179,8.26,4.13,0.0160649028,1.7621903E-02,0.1233533207
meandonorsex,CL,predictorvalue,1,21061,5.40,5.40,0.0201233205,2.0132785E-02,0.13705898
meanstoragetime,K,predspline,2,46740,7.81,3.91,0.0201327086,2.0139279E-02,0.13705898
donorparity,BILI,predictorvalue,2,22353,7.71,3.86,0.0211399103,2.1153978E-02,0.141992454
idbloodgroupcat,LPK,predictorvalue,1,56284,5.14,5.14,0.0234424646,2.3446245E-02,0.1539519697
meandonorhb,FE,predspline,2,1398,7.52,3.76,0.0233280605,2.3564077E-02,0.1539519697
meandonorage,BILI_K,predspline,2,4822,7.40,3.70,0.0247513592,2.4821615E-02,0.1600340976
numdoncat,MCV,predictorvalue,4,36833,11.00,2.75,0.0265509959,2.6566097E-02,0.1690569813
numdoncat,CA,predictorvalue,4,12736,10.95,2.74,0.0271150312,2.7159160E-02,0.1699628524
meandonationtime,LPK,predspline,2,56146,7.19,3.60,0.0273958595,2.7402174E-02,0.1699628524
meandonationtime,BILI_K,predspline,2,4804,7.17,3.59,0.0277310453,2.7805268E-02,0.1703072692
meandonorage,K,predspline,2,46800,6.86,3.43,0.03233335,3.2341486E-02,0.1956460282
donorparity,CA,predictorvalue,2,12733,6.68,3.34,0.0354909042,3.5521973E-02,0.2122654472
meanstoragetime,PCO2,predspline,2,16439,6.32,3.16,0.0424580174,4.2483797E-02,0.2475505301
idbloodgroupcat,K,predictorvalue,1,46765,4.11,4.11,0.0425364576,4.2542114E-02,0.2475505301
meanweekday,INR,predictorvalue,5,27918,11.45,2.29,0.0430892161,4.3118334E-02,0.2475505301
meandonorage,PCO2,predspline,2,16456,6.27,3.14,0.0434216799,4.3447644E-02,0.2475505301
meandonationtime,INR,predspline,2,27809,6.24,3.12,0.0441708101,4.4186269E-02,0.2488651941
numdoncat,K,predictorvalue,4,46822,9.70,2.43,0.0457623161,4.5777453E-02,0.2548971837
meanweekday,NEUTRO,predictorvalue,5,10900,11.26,2.25,0.0464724525,4.6549393E-02,0.256283176
donorparity,MCH,predictorvalue,2,36906,6.04,3.02,0.0486974013,4.8709453E-02,0.2651959096
meandonorhb,APTT,predspline,2,21940,6.00,3.00,0.0497553332,4.9775752E-02,0.2680232823
numdoncat,LPK,predictorvalue,4,56356,9.44,2.36,0.0510953375,5.1108458E-02,0.27220809
meandonorsex,PCO2,predictorvalue,1,16457,3.75,3.75,0.0529565673,5.2973678E-02,0.2767296259
meanweekday,BILI_K,predictorvalue,5,4817,10.92,2.18,0.0529037644,5.3086908E-02,0.2767296259
numdoncat,MCH,predictorvalue,4,36924,9.25,2.31,0.0551759055,5.5196498E-02,0.2846977241
meandonorage,GLUKOS,predspline,2,44582,5.69,2.84,0.058178158,5.8188715E-02,0.2970048992
meandonorhb,COHB,predspline,2,14021,5.64,2.82,0.0596074535,5.9641261E-02,0.301280599
timesincecat,METHB,predictorvalue,3,15595,7.37,2.46,0.0608844962,6.0925386E-02,0.3046269314
idbloodgroupcat,META,predictorvalue,1,377,3.50,3.50,0.0614253554,6.2199984E-02,0.3078585077
timesincecat,MCH,predictorvalue,3,36925,7.28,2.43,0.0636112381,6.3628742E-02,0.3110409751
idbloodgroupcat,CO2,predictorvalue,1,1069,3.42,3.42,0.0643846411,6.4660524E-02,0.3110409751
meandonationtime,NA,predspline,2,46203,5.46,2.73,0.0651753072,6.5185826E-02,0.3110409751
meanweekday,HB,predictorvalue,5,91429,10.37,2.07,0.0653716905,6.5382083E-02,0.3110409751
meandonorsex,INR,predictorvalue,1,27910,3.36,3.36,0.0668833091,6.6893957E-02,0.3151734525
meanweekday,EGFR,predictorvalue,5,7811,10.20,2.04,0.069851897,6.9976099E-02,0.326555129
donorparity,OSMO,predictorvalue,2,6496,5.30,2.65,0.0707378889,7.0814289E-02,0.327349072
meandonationtime,K,predspline,2,46681,5.15,2.58,0.0760707253,7.6081540E-02,0.3484107891
meandonationtime,BE,predspline,2,20130,5.05,2.53,0.0800274627,8.0052817E-02,0.360959842
meanstoragetime,MCHC,predspline,2,23892,5.04,2.52,0.0802737731,8.0295149E-02,0.360959842
meandonorhb,CO2,predspline,2,1066,5.01,2.51,0.0815422839,8.2022819E-02,0.3653743748
meandonorhb,ALAT,predspline,2,16747,4.84,2.42,0.0887526765,8.8783761E-02,0.3919283161
meandonorhb,CA,predspline,2,12614,4.79,2.40,0.0911025311,9.1143984E-02,0.3987549306
meanstoragetime,EGFR,predspline,2,7799,4.74,2.37,0.0936837962,9.3751141E-02,0.4065314983
meanstoragetime,OSMO,predspline,2,6493,4.63,2.32,0.0986002523,9.8681749E-02,0.4241583933
meandonorhb,EGFR,predspline,2,7553,4.59,2.29,0.100771386,1.0084165E-01,0.4296731091
meanstoragetime,GT,predspline,2,7720,4.49,2.24,0.1060674162,1.0613658E-01,0.4447078451
meandonorhb,PCO2,predspline,2,16291,4.49,2.24,0.1061525647,1.0618534E-01,0.4447078451
meandonorsex,MONO,predictorvalue,1,1928,2.51,2.51,0.1133568971,1.1352091E-01,0.4714003707
idbloodgroupcat,BLAST,predictorvalue,1,206,2.50,2.50,0.1140418759,1.1557608E-01,0.4759015231
meanstoragetime,CO2,predspline,2,1070,4.26,2.13,0.1186581463,1.1916171E-01,0.4817910007
donorparity,ALAT,predictorvalue,2,16877,4.23,2.12,0.1205585248,1.2059050E-01,0.4817910007
meandonationtime,BILI,predspline,2,22279,4.23,2.11,0.1209215667,1.2094579E-01,0.4817910007
idbloodgroupcat,BASOF,predictorvalue,1,1932,2.40,2.40,0.1210707567,1.2123454E-01,0.4817910007
meandonorhb,LPK,predspline,2,55772,4.20,2.10,0.1226956049,1.2270529E-01,0.4817910007
timesincecat,CA_F,predictorvalue,3,20364,5.78,1.93,0.1228697085,1.2290587E-01,0.4817910007
meandonorhb,BILI_K,predspline,2,4786,4.17,2.09,0.1242382026,1.2435110E-01,0.4835875978
idbloodgroupcat,ERYTROBL,predictorvalue,1,261,2.29,2.29,0.1299513137,1.3116134E-01,0.4921804436
meandonationtime,HBA1C,predspline,2,180,4.08,2.04,0.1299250749,1.3292062E-01,0.4921804436
meandonorsex,ALAT,predictorvalue,1,16878,2.25,2.25,0.133220973,1.3323968E-01,0.4921804436
meandonorage,OSMO,predspline,2,6496,4.03,2.01,0.1335719397,1.3365526E-01,0.4921804436
timesincecat,APTT,predictorvalue,3,22117,5.58,1.86,0.1337375668,1.3377101E-01,0.4921804436
meanweekday,MCH,predictorvalue,5,36916,8.41,1.68,0.1349089076,1.3493873E-01,0.4921804436
meanstoragetime,GLUKOS,predspline,2,44516,4.01,2.00,0.1349738422,1.3498600E-01,0.4921804436
meandonorsex,APTT,predictorvalue,1,22103,2.23,2.23,0.1352339027,1.3524818E-01,0.4921804436
meandonorhb,METHB,predspline,2,15394,3.98,1.99,0.1366362165,1.3667138E-01,0.4921804436
meandonationtime,FIB,predspline,2,13612,3.97,1.98,0.1375226132,1.3756238E-01,0.4921804436
meandonorhb,ASAT,predspline,2,15151,3.96,1.98,0.1378379026,1.3787363E-01,0.4921804436
meanweekday,MYELO,predictorvalue,5,352,8.40,1.68,0.1357188817,1.3882922E-01,0.4921804436
meandonorhb,LD,predspline,2,6637,3.92,1.96,0.1405743899,1.4065592E-01,0.4921804436
meandonationtime,ALAT,predspline,2,16808,3.92,1.96,0.1411468505,1.4117904E-01,0.4921804436
donorparity,LAKTAT,predictorvalue,2,18870,3.91,1.95,0.1415987618,1.4162743E-01,0.4921804436
numdoncat,FIB,predictorvalue,4,13667,6.87,1.72,0.1430299765,1.4309771E-01,0.4937878861
meandonorsex,K,predictorvalue,1,46802,2.11,2.11,0.1467998771,1.4680658E-01,0.5030435232
idbloodgroupcat,NEUTRO,predictorvalue,1,10896,2.09,2.09,0.1478811621,1.4790993E-01,0.5033046224
meanstoragetime,NEUTRO,predspline,2,10886,3.79,1.90,0.1502085473,1.5025813E-01,0.5077688609
meanweekday,FERRITIN,predictorvalue,5,2561,8.01,1.60,0.1555866239,1.5601670E-01,0.5236176946
meandonorage,CL,predspline,2,21059,3.70,1.85,0.1571322636,1.5715782E-01,0.5238593941
donorparity,COHB,predictorvalue,2,14189,3.65,1.83,0.161055104,1.6109295E-01,0.5303021506
numdoncat,CL,predictorvalue,4,21069,6.56,1.64,0.1612113424,1.6125514E-01,0.5303021506
meandonationtime,NEUTRO,predspline,2,10876,3.58,1.79,0.1666779512,1.6672714E-01,0.5446420047
meandonationtime,LYMF,predspline,2,1917,3.56,1.78,0.1683004199,1.6857910E-01,0.5470447538
numdoncat,KREA,predictorvalue,4,50352,6.33,1.58,0.1756150783,1.7563326E-01,0.5618194451
meandonorage,ASAT,predspline,2,15276,3.48,1.74,0.1757093312,1.7574411E-01,0.5618194451
meandonorage,LAKTAT,predspline,2,18869,3.47,1.73,0.1765436887,1.7657183E-01,0.5618194451
meandonorhb,META,predspline,2,372,3.44,1.72,0.1791629857,1.8058381E-01,0.5667607154
meanweekday,BASOF,predictorvalue,5,1930,7.58,1.52,0.1807480745,1.8131142E-01,0.5667607154
numdoncat,CA_F,predictorvalue,4,20363,6.22,1.56,0.1830968872,1.8314159E-01,0.5667607154
meandonorhb,MYELO,predspline,2,351,3.41,1.70,0.1821713849,1.8367276E-01,0.5667607154
donorparity,ALP,predictorvalue,2,6672,3.39,1.69,0.183829037,1.8390807E-01,0.5667607154
donorparity,INR,predictorvalue,2,27909,3.36,1.68,0.1863780643,1.8639691E-01,0.5693206225
meandonationtime,EGFR,predspline,2,7812,3.35,1.68,0.1869952052,1.8706249E-01,0.5693206225
meandonorage,COHB,predspline,2,14188,3.33,1.66,0.1895127789,1.8954973E-01,0.5733294314
meandonationtime,OSMO,predspline,2,6481,3.31,1.66,0.1910126749,1.9109343E-01,0.5744526468
meanstoragetime,BLAST,predspline,2,205,3.30,1.65,0.1922556661,1.9479521E-01,0.5820100697
meandonorhb,NTPROBNP,predspline,2,814,3.24,1.62,0.1983075292,1.9894460E-01,0.5905013387
idbloodgroupcat,INR,predictorvalue,1,27889,1.62,1.62,0.2026836582,2.0269427E-01,0.5905013387
